ID	Gender	Birth Date	Jobcat	Salary	Job Time	Prev Exp	Minority
86	m	25-Aug-1961	1	"$31,650"	92	64	0
87	m	20-Oct-1959	1	"$24,150"	92	130	0
88	m	10-Feb-1962	3	"$72,500"	92	10	0
89	m	24-Jun-1961	3	"$68,750"	92	8	0
90	f	27-Feb-1938	1	"$16,200"	92	0	0
91	f	4-Nov-1967	1	"$20,100"	92	24	0
92	f	25-Jun-1968	1	"$24,000"	92	6	0
93	f	5-Mar-1968	1	"$25,950"	92	0	0
94	f	4-Aug-1950	1	"$24,600"	92	44	0
95	f	8-Aug-1968	1	"$28,500"	92	6	0
100	m	25-Oct-1963	3	"$78,250"	91	47	0
101	m	14-Mar-1960	3	"$60,625"	91	44	0
102	m	28-Mar-1963	1	"$39,900"	91	59	0
103	m	17-Mar-1959	3	"$97,000"	91	68	0
104	m	5-Nov-1962	1	"$27,450"	91	48	0
105	m	7-Mar-1966	1	"$31,650"	91	18	0
106	m	4-Aug-1962	3	"$91,250"	91	23	0
107	f	16-Aug-1960	1	"$25,200"	91	83	0
108	f	16-Jul-1930	1	"$21,000"	91	108	0
113	m	6-Oct-1959	3	"$54,875"	90	68	0
114	m	25-Aug-1961	1	"$37,800"	90	60	0
115	m	12-May-1961	1	"$33,450"	90	85	0
116	m	9-Jun-1962	1	"$30,300"	90	16	0
117	f	14-Jan-1932	1	"$31,500"	90	205	0
118	f	4-Mar-1964	1	"$31,650"	90	48	0
119	f	23-Jul-1963	1	"$25,200"	90	55	0
120	f	12-Nov-1964	3	"$37,800"	90	7	0
121	f	6-Aug-1936	1	"$18,750"	90	54	0
122	f	26-Sep-1965	1	"$32,550"	90	22	0
123	f	24-Apr-1949	1	"$33,300"	90	3	0
124	f	29-May-1963	1	"$38,550"	90	0	0
129	m	18-Jul-1959	3	"$68,750"	89	38	0
130	m	6-Sep-1958	3	"$59,375"	89	6	0
131	m	8-Feb-1962	1	"$31,500"	89	22	0
132	m	17-May-1953	1	"$27,300"	89	175	0
133	m	12-Sep-1959	1	"$27,000"	89	87	0
134	f	10-Nov-1941	3	"$41,550"	89	285	0
135	f	22-May-1968	1	"$26,250"	89	0	0
136	m	25-Aug-1939	1	"$22,200"	88	324	0
137	m	12-Jul-1937	3	"$65,000"	88	264	0
138	m	9-Jan-1947	1	"$30,900"	88	252	0
139	f	18-Jun-1931	1	"$20,100"	88	90	0
140	f	5-Apr-1965	1	"$22,350"	88	26	0
141	f	14-Jun-1966	1	"$35,550"	88	32	0
142	f	13-Nov-1966	1	"$28,500"	88	34	0
143	f	24-Aug-1939	1	"$24,450"	88	107	0
144	f	28-Aug-1931	1	"$16,650"	88	412	0
149	m	28-Jun-1962	1	"$27,600"	87	75	0
150	m	5-Mar-1954	1	"$25,800"	87	143	0
151	m	16-Aug-1954	3	"$42,300"	87	126	0
152	m	3-May-1929	2	"$30,750"	87	451	0
153	f	13-May-1967	1	"$26,700"	87	18	0
154	f	7-Jun-1940	1	"$20,850"	87	163	0
160	m	27-Aug-1951	3	"$66,000"	86	150	0
161	m	11-Feb-1963	1	"$52,650"	86	20	0
162	m	25-May-1961	3	"$45,625"	86	60	0
163	m	10-Nov-1965	1	"$30,900"	86	25	0
164	f	13-Aug-1965	1	"$29,400"	86	24	0
165	f	29-Apr-1966	1	"$33,300"	86	24	0
166	f	12-Jul-1942	1	"$21,900"	86	156	0
167	f	26-Aug-1932	1	"$18,150"	86	72	0
168	f	23-Apr-1962	3	"$46,875"	86	19	0
173	m	15-Jan-1950	3	"$69,250"	85	134	0
174	m	7-Jan-1935	2	"$31,950"	85	438	0
175	m	8-Jan-1938	1	"$26,250"	85	171	0
176	f	5-Oct-1962	1	"$35,700"	85	19	0
177	f	11-Aug-1962	1	"$28,500"	85	69	0
178	f	17-Jan-1938	1	"$17,100"	85	72	0
183	m	1-Mar-1960	1	"$39,300"	84	72	0
184	m	5-Nov-1964	1	"$38,850"	84	53	0
185	m	28-Aug-1930	2	"$30,750"	84	380	0
186	m	6-Jul-1964	1	"$37,500"	84	33	0
187	m	29-Jul-1963	3	"$58,750"	84	13	0
188	f	4-Feb-1934	1	"$34,500"	84	208	0
189	f	28-Mar-1950	1	"$36,000"	84	240	0
190	f	15-Nov-1932	1	"$29,100"	84	35	0
191	f	23-Oct-1931	1	"$16,500"	84	288	0
197	m	1-Oct-1962	3	"$54,900"	83	49	0
198	m	17-Mar-1952	3	"$70,875"	83	156	0
199	m	2-Feb-1958	3	"$51,250"	83	69	0
200	m	13-Feb-1963	3	"$67,500"	83	9	0
201	m	8-May-1955	1	"$29,340"	83	150	0
202	m	17-Mar-1963	1	"$39,600"	83	47	0
203	m	17-Mar-1964	1	"$29,100"	83	50	0
204	m	21-Oct-1960	1	"$33,150"	83	69	0
205	m	22-Jun-1944	3	"$66,750"	83	258	0
206	m	22-May-1943	2	"$33,750"	83	284	0
207	m	15-Feb-1959	1	"$27,300"	83	91	0
208	f	28-Nov-1968	1	"$24,000"	83	16	0
209	f	14-Jan-1934	1	"$19,800"	83	75	0
216	m	16-May-1964	1	"$30,150"	82	72	0
217	m	15-Mar-1949	1	"$34,620"	82	149	0
218	m	21-Mar-1964	1	"$80,000"	82	34	0
219	m	2-Feb-1963	1	"$25,350"	82	32	0
220	m	17-Aug-1963	1	"$29,850"	82	85	0
221	f	22-May-1947	1	"$24,000"	82	97	0
222	f	15-Sep-1935	1	"$27,750"	82	265	0
223	f	14-Mar-1942	1	"$22,350"	82	48	0
224	f	20-Nov-1934	1	"$16,200"	82	0	0
225	f	13-Oct-1967	1	"$21,900"	82	0	0
226	f	21-Jun-1964	1	"$23,250"	82	4	0
227	f	17-Jul-1965	1	"$33,900"	82	11	0
228	f	21-Sep-1963	1	"$25,650"	82	51	0
229	f	21-Aug-1940	1	"$17,250"	82	358	0
231	m	9-Jan-1965	3	"$40,200"	81	3	0
232	m	13-Sep-1963	3	"$55,500"	81	62	0
233	m	21-Jul-1963	1	"$26,550"	81	52	0
234	m	12-Nov-1960	1	"$50,550"	81	44	0
235	m	11-Sep-1962	3	"$75,000"	81	13	0
236	f	2-May-1969	1	"$27,450"	81	9	0
237	f	4-Jun-1969	1	"$22,650"	81	0	0
238	f	15-Jun-1969	1	"$27,300"	81	5	0
239	f	14-Sep-1969	1	"$27,750"	81	5	0
240	f	15-Jun-1961	3	"$54,375"	81	81	0
241	f	27-Aug-1936	1	"$17,400"	81	390	0
242	f	3-Nov-1967	1	"$40,800"	81	4	0
243	f	10-Feb-1969	1	"$23,100"	81	0	0
244	f	15-Sep-1969	1	"$22,500"	81	5	0
245	f	16-Mar-1969	1	"$26,700"	81	18	0
246	f	14-Jan-1968	1	"$24,900"	81	0	0
247	f	13-May-1968	1	"$19,650"	81	11	0
248	f	9-Apr-1969	1	"$22,050"	81	9	0
249	f	9-May-1969	1	"$25,500"	81	11	0
250	f	10-Oct-1966	1	"$28,200"	81	19	0
251	f	19-Jan-1969	1	"$23,100"	81	13	0
254	m	8-Feb-1964	3	"$68,125"	80	29	0
255	m	15-Aug-1932	2	"$30,600"	80	460	0
256	m	3-Jan-1948	3	"$52,125"	80	221	0
257	m	24-Sep-1951	3	"$61,875"	80	199	0
258	m	9-Mar-1969	1	"$21,300"	80	24	0
259	f	15-Mar-1969	1	"$19,650"	80	5	0
260	f	20-Feb-1969	1	"$22,350"	80	5	0
261	f	27-Mar-1969	1	"$23,400"	80	18	0
262	f	20-Jun-1968	1	"$24,300"	80	8	0
263	f	13-Oct-1968	1	"$28,500"	80	4	0
264	f	16-Jan-1969	1	"$19,950"	80	8	0
265	f	24-Sep-1969	1	"$23,400"	80	0	0
266	f	7-Oct-1963	1	"$34,500"	80	3	0
267	f	24-Aug-1969	1	"$18,150"	80	0	0
269	m	17-Mar-1966	1	"$40,200"	79	38	0
270	m	29-Oct-1947	1	"$28,650"	79	261	0
271	m	24-Aug-1963	1	"$27,750"	79	55	0
272	m	17-Jun-1964	1	"$66,875"	79	30	0
273	m	12-Nov-1939	2	"$30,000"	79	308	0
274	m	4-Aug-1964	3	"$83,750"	79	12	0
275	m	14-Jan-1963	1	"$33,900"	79	94	0
276	m	11-May-1965	3	"$56,500"	79	12	0
277	f	20-May-1965	3	"$43,000"	79	20	0
278	f	12-Jun-1943	1	"$20,850"	79	70	0
279	f	16-Apr-1969	1	"$24,450"	79	8	0
280	f	20-Oct-1969	1	"$24,750"	79	5	0
283	m	25-Feb-1963	3	"$68,125"	78	35	0
284	m	10-Oct-1961	3	"$73,500"	78	45	0
285	m	28-May-1930	2	"$30,750"	78	429	0
286	m	7-Mar-1958	3	"$40,050"	78	133	0
287	m	18-Jan-1965	1	"$40,350"	78	20	0
288	m	22-Jan-1955	3	"$38,700"	78	176	0
289	m	27-Oct-1964	3	"$65,000"	78	26	0
290	m	5-Apr-1954	3	"$51,450"	78	149	0
291	m	23-Sep-1934	2	"$35,250"	78	387	0
292	m	7-May-1963	1	"$25,950"	78	53	0
293	m	19-Sep-1965	1	"$25,050"	78	24	0
294	m	10-Oct-1968	1	"$26,700"	78	25	0
295	m	20-Aug-1932	1	"$24,000"	78	476	0
296	m	12-Feb-1964	1	"$26,850"	78	48	0
297	f	16-Apr-1942	1	"$23,400"	78	209	0
298	f	24-Aug-1966	1	"$24,600"	78	47	0
299	f	11-May-1965	1	"$32,550"	78	6	0
305	m	25-Oct-1941	2	"$30,750"	77	317	0
306	m	5-Apr-1966	1	"$30,750"	77	41	0
307	m	24-Jul-1945	3	"$50,000"	77	264	0
308	m	1-Feb-1963	1	"$34,500"	77	63	0
309	m	19-Jul-1964	1	"$26,250"	77	38	0
310	m	23-Mar-1964	1	"$44,875"	77	22	0
311	f	15-Feb-1951	1	"$22,500"	77	63	0
312	f	12-Mar-1963	1	"$25,650"	77	64	0
313	f	25-Oct-1969	1	"$21,300"	77	0	0
314	f	24-Nov-1966	1	"$29,850"	77	38	0
315	f	19-Sep-1969	1	"$34,500"	77	4	0
318	m	19-Feb-1961	3	"$48,750"	76	61	0
319	m	2-Mar-1966	1	"$43,410"	76	12	0
320	m	10-Nov-1936	1	"$22,050"	76	385	0
321	f	26-Oct-1953	1	"$22,050"	76	6	0
322	f	2-Mar-1938	1	"$22,500"	76	90	0
323	f	13-May-1967	1	"$25,500"	76	7	0
324	f	14-Oct-1966	1	"$29,160"	76	22	0
325	f	4-Nov-1934	1	"$16,800"	76	76	0
328	m	25-Oct-1952	3	"$55,000"	75	125	0
329	m	24-Aug-1958	3	"$62,500"	75	74	0
330	m	9-May-1959	1	"$27,300"	75	132	0
331	f	4-Feb-1942	1	"$24,450"	75	144	0
332	f	10-May-1964	1	"$33,000"	75	26	0
333	f	26-Jan-1965	1	"$37,050"	75	5	0
335	m	26-Feb-1930	2	"$31,950"	74	408	0
336	m	10-Jan-1964	3	"$47,250"	74	45	0
337	f	27-Jan-1970	1	"$26,100"	74	2	0
338	f	12-Aug-1938	1	"$15,900"	74	43	0
339	f	7-Nov-1942	1	"$23,700"	74	281	0
340	f	6-May-1934	1	"$21,750"	74	318	0
343	m	9-Jun-1953	3	"$103,500"	73	150	0
344	m	13-Oct-1963	1	"$35,700"	73	72	0
345	f	5-May-1969	1	"$22,200"	73	7	0
346	f	16-Aug-1968	1	"$22,950"	73	22	0
347	f	10-Aug-1944	1	"$23,100"	73	228	0
348	f	11-Jun-1962	3	"$56,750"	73	15	0
349	f	22-Mar-1938	1	"$29,100"	73	375	0
350	f	21-Apr-1939	1	"$37,650"	73	132	0
351	f	27-Jan-1966	1	"$27,900"	73	32	0
352	f	26-Nov-1933	1	"$21,150"	73	159	0
355	m	19-May-1961	1	"$25,950"	72	83	0
356	m	10-Nov-1965	1	"$28,350"	72	48	0
357	f	18-Jan-1932	1	"$17,700"	72	184	0
358	f	11-Apr-1944	1	"$23,550"	72	49	0
359	f	12-Jun-1941	1	"$19,950"	72	56	0
360	f	11-Aug-1968	1	"$29,400"	72	30	0
361	f	9-Jun-1966	1	"$28,800"	72	18	0
362	f	8-Apr-1937	1	"$16,950"	72	319	0
369	m	14-Nov-1967	1	"$28,050"	71	15	0
370	f	20-Jan-1963	1	"$36,600"	71	12	0
371	f	5-Apr-1966	3	"$58,125"	71	11	0
372	m	22-Aug-1935	1	"$21,300"	70	372	0
373	m	29-Oct-1949	1	"$22,500"	70	216	0
374	m	26-Jul-1967	1	"$29,400"	70	15	0
375	m	8-Oct-1966	1	"$27,450"	70	41	0
376	m	9-Oct-1964	1	"$29,850"	70	48	0
377	m	29-Nov-1965	1	"$25,350"	70	56	0
378	f	21-Sep-1930	1	"$15,750"	70	275	0
379	f	12-May-1938	1	"$19,650"	70	102	0
380	f	22-Feb-1941	1	"$21,000"	70	82	0
385	m	1-Oct-1930	2	"$30,000"	69	348	0
386	m	18-Aug-1934	2	"$28,500"	69	174	0
387	m	3-Feb-1965	3	"$65,000"	69	74	0
388	m	2-Jan-1959	1	"$30,150"	69	110	0
389	m	15-Apr-1959	3	"$66,875"	69	81	0
390	f	9-Nov-1968	1	"$24,150"	69	7	0
391	f	12-Jan-1969	1	"$24,450"	69	12	0
392	f	12-May-1970	1	"$21,600"	69	0	0
393	f	24-Jun-1969	1	"$27,900"	69	0	0
394	f	4-Feb-1970	1	"$29,100"	69	17	0
395	f	9-Mar-1970	1	"$22,650"	69	2	0
396	f	17-Aug-1970	1	"$20,850"	69	0	0
397	f	17-Jan-1970	1	"$22,950"	69	5	0
398	f	21-Nov-1970	1	"$30,600"	69	5	0
399	f	6-Feb-1970	1	"$20,400"	69	0	0
400	f	6-Aug-1969	1	"$23,850"	69	20	0
401	f	14-Mar-1970	1	"$22,800"	69	0	0
402	f	7-Feb-1970	1	"$20,700"	69	2	0
406	m	5-Oct-1965	3	"$60,000"	68	17	0
407	m	6-Sep-1965	1	"$30,300"	68	55	0
408	m	12-Feb-1964	3	"$61,250"	68	9	0
409	m	21-Nov-1962	1	"$36,000"	68	21	0
410	f	9-Jan-1942	1	"$25,200"	68	344	0
411	f	21-Aug-1931	1	"$16,200"	68	180	0
412	f	16-Jun-1970	1	"$22,800"	68	2	0
413	f	13-Mar-1966	3	"$43,500"	68	11	0
416	m	16-Jan-1965	1	"$35,250"	67	6	0
417	m	22-Jul-1967	1	"$37,800"	67	36	0
418	m	5-Jun-1965	1	"$31,200"	67	46	0
419	m	20-Oct-1964	1	"$29,400"	67	68	0
420	m	16-Jul-1957	3	"$70,000"	67	75	0
421	m	1-Nov-1961	1	"$33,900"	67	96	0
422	m	20-Jul-1963	1	"$27,150"	67	78	0
423	f	26-Apr-1936	1	"$22,200"	67	196	0
424	f	6-Jul-1966	1	"$31,350"	67	47	0
425	f	26-Jan-1942	1	"$20,850"	67	181	0
431	m	15-Jan-1959	3	"$86,250"	66	50	0
432	m	12-Mar-1964	1	"$30,750"	66	56	0
433	m	15-Nov-1966	1	"$33,540"	66	47	0
434	m	#NULL!	1	"$34,950"	66	55	0
435	m	24-May-1964	1	"$40,350"	66	80	0
436	m	27-May-1965	1	"$30,270"	66	80	0
437	m	4-Sep-1933	1	"$26,250"	66	264	0
438	m	11-Oct-1964	1	"$32,400"	66	64	0
439	f	25-Jun-1970	1	"$20,400"	66	0	0
440	f	10-Nov-1947	1	"$24,150"	66	96	0
441	f	2-Aug-1949	1	"$23,850"	66	122	0
442	f	18-Sep-1968	1	"$29,700"	66	26	0
443	f	10-Feb-1929	1	"$21,600"	66	228	0
444	f	16-Sep-1961	1	"$24,450"	66	87	0
449	m	2-Jan-1966	3	"$70,000"	65	19	0
450	m	21-Jul-1954	3	"$55,000"	65	129	0
451	m	19-Jul-1969	1	"$28,500"	65	20	0
452	m	13-Aug-1953	1	"$28,800"	65	210	0
453	m	7-Aug-1930	1	"$24,450"	65	338	0
454	m	28-Jul-1965	3	"$90,625"	65	18	0
455	m	17-Jan-1964	3	"$43,650"	65	19	0
456	m	17-Oct-1959	3	"$75,000"	65	54	0
457	m	27-May-1968	1	"$31,650"	65	10	0
458	m	6-Jul-1965	3	"$61,875"	65	26	0
459	f	10-Feb-1971	1	"$21,750"	65	0	0
460	f	12-Aug-1969	1	"$22,500"	65	24	0
461	f	8-Nov-1943	1	"$21,600"	65	173	0
462	f	18-Oct-1963	3	"$34,410"	65	79	0
463	f	15-Oct-1934	1	"$20,700"	65	241	0
464	m	20-Mar-1962	3	"$47,550"	64	27	0
465	m	20-Jul-1962	1	"$33,900"	64	106	0
466	f	15-Jun-1948	1	"$23,400"	64	198	0
467	f	18-Aug-1967	1	"$32,850"	64	20	0
468	f	28-Nov-1965	3	"$55,750"	64	36	0
469	f	1-Jun-1964	1	"$25,200"	64	57	0
472	m	21-Feb-1966	1	"$39,150"	63	46	0
473	f	25-Nov-1937	1	"$21,450"	63	139	0
474	f	5-Nov-1968	1	"$29,400"	63	9	0
